,text
1053,"Ndetei Norway 
B. G. Bentsen Sweden Lebanon Ulrik Fredrik Malt Britt-Gerd Maimberg Elie G. Karam Torge Sorlie Ulf Rydberg 
Luxembourg Pakistan Switzerland Charles Pull S. Haroon Ahmed F. Ferrero 
Malaysia Rubina Ali M. Gaillard 
Movaddat Hussain Rana W.Imiger Chia Yook Chin 
M.P."
1054,"Deva Mohib Mirza H. M. Kohssay 
Kumar Rajakumar M. H. Mubbashar Willy Pasini 
Muhammad Sharif W. POldinger 
Mexico Khalida Tareen Ursula Steiner-Konig 
J orge Caraveo Anis U r Rehman J. Wertheimer 
Appendix 2 -List of Participating Investigators 87 Thailand Raymond Levy Kurt Kroenke 
Prawate Trantipiwatangskul Keith Lloyd Philip]."
1055,"Leaf 
Sean Lynch Kathy Magruder 
Trinidad Isaac Marks Lloyd Michener 
John Neehall Hugh MiddIeton Grayson Norquist 
Peter MittIer George Parkerson Turkey L. Mynors-Wallis HaroId A. Pincus G. Aksakoglu AnuIa Nikopota Michael Pop kin M. Emin CeyIan W. M. Patterson Robert E. Rakel BuIent Coskun E. S. Paykel Darrel Regier N. Dedeoglu Rachel Rasser Catherine Riessman Ahmet Goglis Michael L. Rutter Anne W. Riley Kultekin Ogel B. Sachs A. John Rush 
F. Sayek E. TayIor Herbert C. SchuIberg 
UAE Uruguay Greg Simon 
G. Richard Smith H. Hamde PauIo Alterwain Barbara StarfieId 
Ukrain USA Arlene Rubin Stiffman 
Ageel Najaf T. Babor CIydette StuIp 
A. Nvagu ]."
1056,"Barrett Michael Von Korff 
Jack Blaine James Walsh 
UK W. Eugene Broadhead Lawrence S. Wissow 
]."
1057,"Bancroft Jay Burke Maurice Wood 
Nick Booth Barbara]."
1058,"Burns William Yates 
A. Coates Edward]."
1059,"Callahan Venezuela John E. Cooper Patricia Cohen 
]."
1060,Corbett Sanford 1.
1061,"Finkel ReinaIdo Muniz v. Bueno 
T. Craig Jeanne C. Fox Yemen Dennis Gath Jack Froom Khalid Al Beedh Michael GeIder Martin GitteIman Abdulla Al Kathiri M. E. GerraIda Junius Gonzales 
David Goldberg AIan M. Jacobson Zambia 
Ian Goodyer John M. Jemerin AIan Haworth 
Philip Graham Wayne Katon James Banda 
Rachel Jenkins David J. KatzeInick 
Eva Johnstone Kelly Kelleher Zimbabwe 
]."
1062,Leff Mike Klinkman ].
1063,"Acuda 
88 Appendix 2 -List of Participating Investigators Appendix 3: 
Translations and adaptation 
to national standards 
The primary health care classification of mental and behavioural disorders is intended as a 
model system that will assist the identification and management of these disorders in primary 
health care settings."
1064,"While diagnostic guidelines may be consistent across different health care 
systems, patients' presenting complaints and management guidelines may require adaptation 
to meet the needs of users in different countries."
1065,"Diagnostic and management guidelines may 
be adapted to reflect different health service situations, especially in view of the following 
variations: 
-presentation of mental disorders across cultures 
-prevalence of physical disorders which may produce mental symptoms 
practice of primary health care 
availability of specialist treatments."
1066,"Persons and organizations who wish to undertake the translation, adaptation or any other 
application of this book should contact WHO's Division of Mental Health for permission and 
consultation."
1067,"This procedure is required for coordination of translation rights and granting of 
copyright clearance, and will help avoid duplication of effort."
1068,"Sample copies of adaptations 
should be sent to WHO."
1069,"Similar to the initial production of lCD-l 0 PC Chapter v., which encompassed various sources, 
it is recommended that national adaptations should be carried out by (or in consultation with) 
the following: 
-organizations of general practitioners and family physicians (e. g., relevant bodies of the 
national medical association) 
-organizations of psychiatrists (e. g., relevant bodies of the national psychiatric association) 
relevant government agencies (e.g., Ministry of Health) 
WHO and its Collaborating Centres."
1070,"WHO's Division of Mental Health is ready to provide as much assistance as is feasible in the 
adaptation process."
1071,"For gUidelines on translation and national adaptations please write to: 
Dr. T. Bedirhan Ustiln 
Division of Mental Health and Prevention of Substance Abuse 
World Health Organization 
Fax: +41 22791-4885 
E-mail: ustunt@who.c1z 
Appendix 3 - Translations and adaptation 89 Symptom Index for Adults 
Agitation or excitement 
Anxiety 
Confusion 
Delusions or bizarre beliefs 
Fatigue 
Hallucinations 
Poor hygiene/self-care 
Insomnia 
92 Acute psychotic disorders -F23 
Delirium -FOS 
Chronic psychotic disorders -F20# 
Generalized anxiety F41.1 
Panic disorder -F41.0 
Phobic disorder F40 
Adjustment disorder F43.2 
Alcohol use disorders F10 
Drug use disorders F 11 # 
Delirium FOS 
Dementia FOO# 
Acute psychotic disorders -F23 
Delirium -FOS 
Chronic psychotic disorders -F20# 
Dementia -FOO# 
Alcohol use disorders FlO 
Drug use disorders Fll # 
Neurasthenia -F48.0 
Depression -F32# 
Acute psychotic disorders -F23 
Delirium -FOS 
Chronic psychotic disorders F20# 
Alcohol use disorders FlO 
Drug use disorders -Fll # 
Dementia -FOO# 
Chronic psychotic disorders F20# 
Alcohol use disorders -F1 0 
Drug use disorders -F11 # 
Sleep problems -FS 1 
Depression -F32# 
Alcohol use disorders FIO 
Drug use disorders -F11 # 
Symptom Index and Flow Charts Symptom Index for Adults 
Memory loss 
Suspiciousness 
Feeling persecuted 
Physical symptoms 
(without physical cause) 
Sad mood 
Strange speech 
or behaviour 
Suicidal thoughts or acts 
Worry or fear 
Violent behaviour Dementia -FOO# 
Delirium -FOS 
Acute psychotic disorders -F23 
Delirium -FOS 
Chronic psychotic disorders F20# 
Dementia FOO# 
Drug use disorders -Fll # 
Unexplained somatic complaints F4S 
Dissociative disorders 
(conversion hysteria) F44 
Panic disorder F4LO 
Generalized anxiety disorder F4 L 1 
Adjustment disorder -F43.2 
Depression -F32# 
Adjustment disorder F43.2 
Alcohol use disorders -FlO 
Drug use disorders -Fll # 
Acute psychotic disorders -F23 
Delirium FOS 
Chronic psychotic disorders -F20# 
Depression F32# 
Alcohol use disorders FlO 
Drug use disorders -Fll# 
Generalized anxiety -F41.0 
Phobic disorder -F40 
Panic disorder F41.1 
Adjustment disorder -F43.2 
Alcohol use disorders FlO 
Drug use disorders Fll# 
Acute psychotic disorders F23 
Delirium FOS 
Chronic psychotic disorders -F20# 
Alcohol use disorders -FlO 
Drug use disorders Fll# 
Symptom Index and Flow Charts 93 """" ,j::."
1072,"Vl 
~ 8 ""d .-+ 
0 8 -::s 0-
('t) 
:>< 
~ ::s 0-
'""rj 
0"" :s 
n ::r 
~ ..... .-+ 
Vl Yes Yes 
Yes 
f x ;l'"" ',l1liljlgf;fH~ ""'ill %, ~0 ""~""'i ilil~IIIIII' ""00 1 ~ /' IQIIOI.IiRI'~,··""I,F23* C.fl 
~ .... o a 
S' 
~ 
~ 
~ 
::l p,."
1073,"'""r1 
5"" 
~ n ::r 
~ 
'"""" .... Vl 
I,Q 
(,/1 PSYCHOLOGICAL 
DISTRESS ."
1074,"Anxiety Both Depression 
Predominant I Predominant PHYSICAL 
COMPLAINTS SPECIFIC 
SYMPTOMS 
(sleep, eating, sexual) The official WHO checklists for Mental and Behavioural Disorders 
SCL-Symptom Checklist for 
Mental Disorders 
IDCL-International Diagnostic Checklists 
Contents of the Box: 
.... Introduction to the ICD-10 Ched~lislts 
.... SCL-Symptom Checklist for Mental 
Disorders, ten each 
...."
1075,"Symptom Glossary for Mental Disorders 
.... 32 mCL-International Diagnostic 
Checklists, ten each 
.... mCL-International Diagnostic 
Checklists: Manual 
1996 / US$ 198.-/ OM 236.­
(ISBN 0-88937-164-4) 
The lCD-10 Symptom Checklist for 
Mental Disorders (SCL) is intended for use 
by clinicians in their assessment of the 
~ain psychiatric symptoms and syndromes."
1076,"The Checklist can be used as a screening 
instrument to be followed by a more 
detailed psychiatric examination."
1077,"The Symptom Glossary provides brief 
definitions of the symptoms to be assessed 
according to the Symptom Checklist."
1078,"The International Diagnostic Checklists 
(mCL) are based on the inclusion and exclu­
sion criteria required for ICD-10 diagnosis 
of mental disorders and are particularly 
suitable for more detailed psychiatric assess­
ment in both clinical and research settings."
1079,"The mCL Manual details of the devel-
opment, structure, and use of the instrument."
1080,"Hogrefe & Huber Publishers Order Form 
.... Germany."
1081,"Rohnsweg 25 .0-37085 Gottingen • Phone +49 551 49609-0 • Fax +49 551 49609-88 
.... USA .PO Box 2487 • Kirkland WA 98083-2487 • Phone (206) 820-1500 • Fax (206) 823-8324 
In North America caIl (800) 228-3749 
:J Please send me the ICD-IO Checklists 
Please charge my: U VISA :J MasterCard :J AmEx 
Card# ~~~~_ ................... ~~~~~~~_ 
Signature Date ~~~~~~~~~_ ...... _~~~~_ 
U Please bill me :J Check enclosed 
Title Affiliation 
State 
Zip ~ __ ................. __________ ."
1082,"______ _ 
Telephone ( .......... ) ~ ___ _"
